artist_name,track_name,release_date,genre,lyrics
paul johnson,chase town break ruin,1951,folk,hope sleep wake sleep blue smile sky summer love ice dark run new light wind ice light valley forgive light stranger cry sleep train morning ice new water smile old cry fall water lie morning live stay live night
robert jones,summer burn hope fire,1954,folk,voice wake bird new evening love die summer water play green friend tear wake ruin walk warm blow walk green moon feel walk lie try grow cold road year friend tear dream road run break wind ice walk river dream morning voice
linda taylor,speak voice laugh country,1951,folk,year time friend walk tear fall late love tear star morning sleep friend snow winter moon cold valley night sky voice cry away city stranger hold play rain fire stranger break burn live voice leaf
peter lopez,town time,1954,folk,stay dream time field warm night fly tree ice blue warm ice leaf house heart blue sky new winter wake warm train dark cold smile new year morning fly smile dark snow stay leave laugh road fly stranger hope grow smile feel day evening night hope light friend friend
john wilson,cry stranger voice,1957,folk,green rain town year light snow die moon country die field dark house rain tear dark valley ruin summer evening laugh leaf country hold leaf evening grow evening stranger blow green star hope leaf snow year sun sun try tree fire summer dark voice grow break star cry
richard miller,star grow,1956,folk,mountain field die tree summer hold stranger ice burn time lie smile burn heart warm night lie break love save light mountain star stay leave sky save winter sky ruin summer grow sun grow blue stay home play water home leaf mountain away heart away play cry
robert garcia,morning moon fly wind,1956,folk,train sun country grow snow hope leaf voice tear away speak try green ruin river leave night hold cry sun friend time fly tear blow love chase heart star rain voice heart die leave laugh live voice stay ice heart year cry
robert gonzalez,day fall house,1952,folk,wake new late forgive wind blow moon sleep day house cold warm valley dark fly ruin laugh old town sky feel sing truth wake fire home year blue moon year leaf hope sleep chase live green leave mountain moon cry country feel save grow tree summer sing city
john brown,road house chase,1950,folk,away snow play tree rain day fly morning country play water river tree ruin fire morning blow smile stay cold bird cold city moon feel leaf leave tear snow dream speak light river leave light leaf day
john hernandez,live valley,1950,folk,house voice away sleep play feel moon light save forgive heart leaf rain truth ruin city winter town evening old smile break country tree dream sleep ice run water tear house
charles miller,sleep love,1959,folk,field field truth grow cold town field tear light night die sing valley laugh play ruin cry tree laugh year chase fall live fall heart warm play moon live town forgive grow smile road truth star rain ice lie leave country green year snow leave
daniel rodriguez,cold train,1958,folk,wind tree sleep town leaf hope river sleep live blue rain old rain tear green dark leave evening friend away chase country chase train play star valley ruin ice leaf burn
daniel moore,love stranger mountain dream,1959,folk,blue snow away away wake laugh smile ruin winter dream country star town truth break warm truth moon sun feel road road smile heart lie snow valley town city blue morning grow winter die sun dark forgive
sarah rodriguez,feel laugh blow,1956,folk,stranger tree blow house burn live laugh new river tear smile country winter stay day hold die dark blue play old walk hold road sun dream live ruin friend new night
michael garcia,leaf bird city fire,1958,folk,night valley train sleep evening mountain live try road hold year river away live fire wake leave house voice fire stranger water ice moon evening fire grow light train dream hope live blow
john anderson,blue house chase truth,1958,folk,old rain burn grow rain live sky warm fire cry wake hold dream fly rain old forgive voice warm fall ice stay night stay forgive winter break lie save morning hope country light stranger walk mountain laugh dark hold morning green smile evening fire city sun heart morning save
john williams,winter burn grow moon,1960,folk,time die warm fire lie break light fall city sleep burn truth away ruin try sun wake morning feel voice green away forgive heart green day smile ruin blow snow country rain
robert rodriguez,laugh tear walk,1957,folk,walk run hold stay play home wake speak cry speak fire dark speak wind run stay love smile speak field green hope die leave live night winter old sun leaf burn green sun fire laugh blow train feel field save save green wake light leave river winter lie
linda wilson,fire walk winter,1951,folk,day hold play heart tree lie train sky year year friend wake break bird wake train green cry blue forgive stranger play new evening live day ruin star country sing forgive year old city snow fall break leaf valley forgive old rain
anthony taylor,play sing,1954,folk,dream green road morning stranger dream house smile moon train forgive heart speak ice cry forgive wake chase winter tree stranger day stay road blow blow time laugh sun break night warm cry hold friend lie mountain break snow save walk morning lie ice bird sing star laugh
sarah jackson,dream cold train,1957,folk,die love grow fall tear river hold green die green star run play fall ice fly feel leaf field run river ice burn friend year blow city country love break sky moon hold green love dark heart
michael rodriguez,smile dream,1954,folk,lie train play year field time river sky speak tear old tear tree rain wind water friend snow wind city live water ice run laugh hold tear laugh sky green hold play fly town lie warm cold winter stay
matthew jackson,stranger live water home,1956,folk,ice road leaf away summer train sleep love train speak forgive dream rain voice home voice ruin voice cold speak star chase burn feel hold sleep run hold winter cold wind away country rain stranger leaf
peter jones,fire sleep,1958,folk,friend road away late love try burn live speak grow wind stranger wake speak cry night hope play dream run away hope sing wind late mountain play morning tear star hope cold late sing voice break day rain feel heart
mary thomas,wind voice,1956,folk,wake wind light leaf country speak try road bird sing dream laugh late laugh year valley lie hope fall hold sky field morning try summer old grow sing voice morning home smile blue leave city green
